station,month,lambda,alpha,beta
LORIENT-LANN BIHOUE,1,1.0363813354846974,1.4183359368489739,12.326690987991018
MARIGNANE,1,0.28338814719988753,1.4668140037130202,15.19246013441036
STRASBOURG-ENTZHEIM,1,0.6933221664866313,1.5688109742587013,12.68049206968838
LYON-ST EXUPERY,1,0.5574436679791226,1.5836936713780805,14.659669283570388
LORIENT-LANN BIHOUE,2,0.8917716800467224,1.6695370229263395,15.668644008929583
MARIGNANE,2,0.2611987283480706,2.1157588909310796,11.537192378301128
STRASBOURG-ENTZHEIM,2,0.6004058472443232,1.6354460170221317,19.079982291543985
LYON-ST EXUPERY,2,0.4862332627794194,1.6848195330623819,16.215328203251268
LORIENT-LANN BIHOUE,3,0.7432954078648069,1.8713603101102578,12.805261431921945
MARIGNANE,3,0.2467823881908386,1.685453868587118,17.63333441058242
STRASBOURG-ENTZHEIM,3,0.541501176614309,1.5860914985883285,24.070431428465746
LYON-ST EXUPERY,3,0.5003147626154355,1.7379107149266244,13.2910230393897
LORIENT-LANN BIHOUE,4,0.6131028616963758,1.4577400377877865,16.71961834464294
MARIGNANE,4,0.298961279796099,2.0122441472145076,13.188100265738704
STRASBOURG-ENTZHEIM,4,0.4768923953527127,1.7964533618726235,16.88093876358132
LYON-ST EXUPERY,4,0.4605196649706801,1.6119620666840468,16.90869231703063
LORIENT-LANN BIHOUE,5,0.6697320090458697,1.877884383804569,15.089250241607793
MARIGNANE,5,0.2898440013623001,1.544228742590547,14.523482027288097
STRASBOURG-ENTZHEIM,5,0.6517372358686975,1.7466670968753908,12.655521766571084
LYON-ST EXUPERY,5,0.5276567482066089,1.853536032438877,15.639459488430521
LORIENT-LANN BIHOUE,6,0.6118264877725548,1.7706695993188895,14.550360109339778
MARIGNANE,6,0.1556954188508047,1.722721700213648,16.08795788774625
STRASBOURG-ENTZHEIM,6,0.548479423080996,1.8526393185412617,14.564550906928277
LYON-ST EXUPERY,6,0.4313135162969837,1.9565688377944097,14.731804510837334
LORIENT-LANN BIHOUE,7,0.6800270535579835,1.893849700572242,13.495071682889613
MARIGNANE,7,0.08421384107338425,1.8837057577762795,17.50542536092715
STRASBOURG-ENTZHEIM,7,0.5992696184581251,1.932880171158072,17.545322096510183
LYON-ST EXUPERY,7,0.3684604691750858,1.7017864865419563,16.79552951213502
LORIENT-LANN BIHOUE,8,0.7853358634936198,1.9505415809483593,14.577524015301009
MARIGNANE,8,0.1329999590002469,0.8999237458326248,23.365810152149344
STRASBOURG-ENTZHEIM,8,0.6629752766231736,1.6821719624690301,14.488155458782689
LYON-ST EXUPERY,8,0.39134653567597466,1.8028564992109977,12.130662612591767
LORIENT-LANN BIHOUE,9,0.8367253787408409,1.6195355396053177,14.067340972734694
MARIGNANE,9,0.2564828891795978,0.8763389581599912,26.598845051435937
STRASBOURG-ENTZHEIM,9,0.6315007323026349,1.6527616148563815,15.71629460395252
LYON-ST EXUPERY,9,0.4070722335796627,1.6489032311692147,18.61636827576975
LORIENT-LANN BIHOUE,10,1.1741405318212825,1.692683640266087,19.13437398720682
MARIGNANE,10,0.4619010833017385,1.2768953988840808,19.05467628916803
STRASBOURG-ENTZHEIM,10,0.8787915931519484,1.5460704883833232,19.112332740602774
LYON-ST EXUPERY,10,0.5940615300299401,1.5415403805105545,18.7636423356238
LORIENT-LANN BIHOUE,11,1.069261360705457,1.45923385527243,16.559663520769213
MARIGNANE,11,0.4558853443153129,2.1277538850063653,15.342817911852897
STRASBOURG-ENTZHEIM,11,0.8324975042640672,1.6402201892066448,20.270114062921962
LYON-ST EXUPERY,11,0.638425379372882,1.766219212304401,14.290646029293846
LORIENT-LANN BIHOUE,12,0.9315066503121907,1.5458074820426788,14.843458685521641
MARIGNANE,12,0.33537885998244166,1.396641055072088,20.558443453942576
STRASBOURG-ENTZHEIM,12,0.7569129066106852,1.469053106984814,18.993814899922157
LYON-ST EXUPERY,12,0.6439630659173742,1.8147906157714295,14.05623103808356
