station,month,lam,alpha,beta
MARSEILLE-MARIGNANE,1,0.284104251103897,0.32447176673113626,13.698379798013075
STRASBOURG-ENTZHEIM,1,0.6931471805599453,0.4228900409426582,4.3377576280260595
MARSEILLE-MARIGNANE,2,0.2614797000577569,0.6005421244244489,6.7373589000046605
STRASBOURG-ENTZHEIM,2,0.600253433667249,0.6268343477883734,3.061105446003017
MARSEILLE-MARIGNANE,3,0.24729027798118067,0.3144052754949284,11.9732674712326
STRASBOURG-ENTZHEIM,3,0.5413033068306019,0.6891565196966282,3.330645816601913
MARSEILLE-MARIGNANE,4,0.2988553730499061,0.45430085910017487,10.94884739448479
STRASBOURG-ENTZHEIM,4,0.4766926173965321,0.6119137553235086,4.940000206278866
MARSEILLE-MARIGNANE,5,0.2894757949058078,0.33876502292331095,13.322401274763367
STRASBOURG-ENTZHEIM,5,0.6510356952098184,0.48146192906945096,7.826128547512051
MARSEILLE-MARIGNANE,6,0.15600424847658126,0.3897215262229686,15.269088927186171
STRASBOURG-ENTZHEIM,6,0.5485659517488378,0.5202452004581914,7.944814523376989
MARSEILLE-MARIGNANE,7,0.08408311721054144,0.30970393938447977,13.915262996956672
STRASBOURG-ENTZHEIM,7,0.5983258787902902,0.45514281131412265,8.23705382787771
MARSEILLE-MARIGNANE,8,0.13353139262452263,0.3036382874419989,19.505622588442037
STRASBOURG-ENTZHEIM,8,0.6640060456524459,0.4233277302323977,7.770190710438615
MARSEILLE-MARIGNANE,9,0.25668597208281696,0.3416955263988886,24.42118729424836
STRASBOURG-ENTZHEIM,9,0.631216222829455,0.3227859741709604,7.766275516564116
MARSEILLE-MARIGNANE,10,0.4614382663868125,0.23075798067531647,21.197518135669526
STRASBOURG-ENTZHEIM,10,0.8786997579353464,0.2776379832668419,8.05700911579094
MARSEILLE-MARIGNANE,11,0.456758402495715,0.3545205079377872,17.460367163933466
STRASBOURG-ENTZHEIM,11,0.8330480214699477,0.3131251258920366,6.400592018935972
MARSEILLE-MARIGNANE,12,0.33539754549144746,0.23324855582136075,18.78397792048641
STRASBOURG-ENTZHEIM,12,0.7569691126306647,0.4490673751903006,4.005408787195886
